,Product URL,Description,ASIN,Product Description,Manufacturer
10,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NDI5NjgxMjQzMjUyNDA5OjE2NzU0MTUzNzg6c3BfbXRmOjIwMTE0NjA4MDA4Mzk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQ3ND145%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415378%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1," Multi-Organized Compartments and Pockets: One separate padded laptop compartment holds more then 15.6 Inchs Laptop. One spacious storage compartment for Daily necessities, electronics accessories, like pen, keys, Head phones, Books, Small daily items, etc.. Front compartment with many pockets which is perfect for some quick-access objects making your essentials organized and easy to find.  ___ Laptop Backapck bag for men casual  ___ backapck for men  ___ men backpack  ___ men bag  ___",B0BQ3ND145,,NA
11,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NDI5NjgxMjQzMjUyNDA5OjE2NzU0MTUzNzg6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415378%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1," KEY FEATURES - Black Colour Laptop Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.   ___ Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. IMPORTANT NOTE: We do NOT provide Free Portable Charger with the Bag   ___ Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.   ___ Essence of Fur Jaden - We craft signature Laptop Backpacks and Casual Backpacks that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication. We strive to make thoughtful designs that are high on aesthetics as well as on utility and functionality.; 100% Genuine NORTHZONE Men products, 10 days No Question asked replacement guarantee from the date of delivery   ___ Age Range Description: Adult; Color Name: Grey; Lining Description: Polyester; Pattern Name: Solid; Material Type: Polyester   ___",B0BH8S9QGH,,NA
12,https://www.amazon.in//Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-13," ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.  ___ WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.  ___ CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.  ___ Outer Material Type: Nylon  ___",B084ZHP97M,"Ergonomic Design   This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily.___Slim Profile   A light weight design & slim profile makes this bag perfect for carrying all day.___Large Capacity   With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more.___",NA
13,https://www.amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-14," Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo  ___ Dimensions : LxWxH- 31 x 18 x 47 cms  ___ Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)  ___ No. of Compartments : 3 with full padding  ___ NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)  ___",B07F3X45WZ,"Separate Laptop Compartment   One separate laptop compartment that can hold up to 15.6 Inch Laptop. Multiple compartments and Organiser can store lots of stuff, that too organized.Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers.___Large Main Compartment   Fits up to 15.6 Inch Laptops (Laptops bigger than 15.6 inches not recommended)Thin clothes, headset, books, magazine, camera, CD's, etcFor Phones, pens, keys, wallets, purses, glasses, and other small itemsDurable elasticized mesh pockets on both sides fit water bottles, a small compact umbrella, and other items___Earphone Slot   Made with strong yet lightweight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all with the charging system, i.e. adults, teens, boys, girls.Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers.___",ADISA 
14,https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-15," SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort   ___ COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls.   ___ SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.   ___ ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Style Name: Casual; Pocket Description: Utility Pocket; Compartment Description: Up To 17 Inches; Age Range Description: Adult;Pattern Name: Solid   ___ OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc   ___",B09VCLZ3K4,"Backpack for Every Needs   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,___Space & Comfort   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.___Small Pockets   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.___Rain / Dust Cover   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.___Proudly Made in India   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.___Shipped Directly from Factory   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible.___",Amazing Bags 
15,https://www.amazon.in//Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-16, Lightweight yet durable backpack/daypack for school use or everyday outings  ___ Front storage pocket keeps smaller items neatly organized and easy to access  ___ Mesh pockets on both sides to accommodate your water bottle and umbrella  ___ Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects  ___ Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult  ___,B09B26MB5M,,Safari Industries 
16,https://www.amazon.in//AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-17," Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.  ___ Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls  ___ Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.  ___ Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.  ___ Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.  ___",B07QN4KXWG,"Contoured padded mesh back panel and shoulder straps for Extra Comfort. It helps to get relief from stress over shoulders while carry heavy weight.___It features a dedicated space for up to 15.6” laptop and iPad/tablet with a secure velcro closure. Extra padded layer protects your laptop from major impacts.___Main compartment has plenty of space for clothes, wallet, diary, etc.___Quick-grab items like your smartphone, passport etc can be stored in this zippered pocket. So you can access it easily.___Designed to accommodate tablet, mouse, power adapter & cable,power bank, keys, passport etc.___This backpack has mesh pockets on both sides with elastic belt. Umbrella, Water bottles can be easily stored inside this pockets.___With leather pull tail, fashionable & novel, keeping up with the current trend.___Handle padded with breathable mesh which provides the needed comfort while carrying excessive weight.___Adjustable side straps for a better fit.___Protects your belongings from getting wet.___Mesh Pocket to Keep bottles.___Artificial Leather with elegant look, high end finish. Strong fabric lining inside protects from scratches.___",AirCase 
17,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-18," 100% Polyester, High Quality, Durable and Water Resistant Fabric  ___ 2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook  ___ Front storage pocket keeps smaller items neatly organized and easy to access  ___ Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects  ___ Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight  ___",B09B25Z8M2,,Safari Industries 
18,https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-19," Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo  ___ NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display)  ___ Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)  ___ Compartments: 2 with full padding; Front Easy-Access Pocket  ___ Dimensions : L x W x H- 12 x 7 x 18 inches  ___",B07G3CG9FC,"Quality Metal Zipper   Tested for quality and pressure, the zipper is made of the metal locking with a compatible pulling strap keeping the laptop and other accessories safe within.___Padded Handle   The bag features a strong padded handle, for an easy holding and comfortable grip to be used as a carry bag.___Bottle Holders   Keeping your travel and gym needs in mind, the bag is fitted with two strong mesh fabric bottle holders on each side of the bag.____________",ADISA 
19,https://www.amazon.in//Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-20," PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.  ___ LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.  ___ EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.  ___ DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.  ___ BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.  ___",B08X2T2M8G,,NA
