,Product URL,Producy Name,Producy Price,Rating,Number of Reviews
13,https://www.amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-14,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0,"(5,547)"
14,https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-15,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,"(2,127)"
15,https://www.amazon.in//Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-16,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8,(628)
16,https://www.amazon.in//AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-17,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9,(710)
17,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-18,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9,(675)
18,https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-19,ADISA Laptop Backpack 31 Ltrs,₹499,4.0,"(8,992)"
19,https://www.amazon.in//Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675415378&sprefix=ba%2Caps%2C283&sr=8-20,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1,"(4,860)"
20,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NDI5NjgxMjQzMjUyNDA5OjE2NzU0MTUzNzg6c3BfYnRmOjIwMDk3Nzk2NjI5NDk4OjowOjo&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R563J3T%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415378%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,EUME Virgo Polyester 29Ltr Laptop Backpack for Men & Women - Yellow Series,"₹1,448",4.2,(495)
21,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NDI5NjgxMjQzMjUyNDA5OjE2NzU0MTUzNzg6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415378%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3,"(7,643)"
22,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMTU4NzYwNDYxNTY2NzQ4OjE2NzU0MTUzOTA6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415390%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9,684
